Assignement,Charge,Elemental composition,Mass
w3,5-,C36H46N13O18P3S3,226.421899
c6,9-,C66H85N20O34P6S6,230.018135
d6,9-,C66H86N20O35P6S6,231.907328
x6,9-,C66H83N26O31P6S6,233.797918
w6,9-,C66H84N26O32P6S6,235.687112
a5,7-,C56H71N17O27P4S4,236.886132
x4,6-,C46H59N16O22P4S4,238.856443
c4,6-,C46H58N15O23P4S4,239.020445
b5,7-,C56H71N17O28P4S4,239.17112
z5,7-,C56H71N21O25P4S4,240.317913
w4,6-,C46H60N16O23P4S4,241.690233
d4,6-,C46H59N15O24P4S4,241.854235
y5,7-,C56H71N21O26P4S4,242.602901
a6,8-,C66H85N20O32P5S5,247.029354
c2,3-,C24H31N8O12P2S2,248.691993
x2,3-,C24H31N8O12P2S2,248.691993
b6,8-,C66H85N20O33P5S5,249.028718
c5,7-,C56H71N17O29P5S5,250.44837
z6,8-,C66H83N26O29P5S5,251.28161
d5,7-,C56H72N17O30P5S5,252.877333
y6,8-,C66H83N26O30P5S5,253.280974
x5,7-,C56H71N21O27P5S5,253.880151
d2,3-,C24H32N8O13P2S2,254.359573
w2,3-,C24H32N8O13P2S2,254.359573
a7,9-,C76H98N22O38P6S6,255.027861
z3,4-,C36H45N13O15P2S2,255.294592
a3,4-,C36H45N13O15P2S2,255.294592
w5,7-,C56H72N21O28P5S5,256.309114
b7,9-,C76H98N22O39P6S6,256.805074
z7,9-,C76H96N28O35P6S6,258.807644
c6,8-,C66H85N20O34P6S6,258.896311
b3,4-,C36H45N13O16P2S2,259.293321
y3,4-,C36H45N13O16P2S2,259.293321
y7,9-,C76H96N28O36P6S6,260.584857
d6,8-,C66H86N20O35P6S6,261.021654
x6,8-,C66H83N26O31P6S6,263.148568
w6,8-,C66H84N26O32P6S6,265.27391
c7,9-,C76H98N22O40P7S7,265.576268
z1,1-,C12H17N3O4,266.11463
d7,9-,C76H99N22O41P7S7,267.465461
z4,5-,C46H59N16O20P3S3,267.842054
a4,5-,C46H58N15O21P3S3,268.038857
x7,9-,C76H96N28O37P7S7,269.356051
y4,5-,C46H59N16O21P3S3,271.041037
b4,5-,C46H58N15O22P3S3,271.23784
w7,9-,C76H97N28O38P7S7,271.245244
a5,6-,C56H71N17O27P4S4,276.535034
x3,4-,C36H45N13O17P3S3,279.028508
c3,4-,C36H45N13O17P3S3,279.028508
b5,6-,C56H71N17O28P4S4,279.200853
z5,6-,C56H71N21O25P4S4,280.538778
y1,1-,C12H17N3O5,282.109544
a6,7-,C66H85N20O32P5S5,282.463158
y5,6-,C56H71N21O26P4S4,283.204598
d3,4-,C36H46N13O18P3S3,283.279193
w3,4-,C36H46N13O18P3S3,283.279193
b6,7-,C66H85N20O33P5S5,284.748146
x4,5-,C46H59N16O22P4S4,286.829187
c4,5-,C46H58N15O23P4S4,287.02599
a7,8-,C76H98N22O38P6S6,287.032253
z6,7-,C66H83N26O29P5S5,287.322879
b7,8-,C76H98N22O39P6S6,289.031617
y6,7-,C66H83N26O30P5S5,289.607867
w4,5-,C46H60N16O23P4S4,290.229734
d4,5-,C46H59N15O24P4S4,290.426538
z7,8-,C76H96N28O35P6S6,291.284509
a8,9-,C86H110N27O42P7S7,291.587279
a1,1-,C12H15N5O4,292.105128
c5,6-,C56H71N17O29P5S5,292.357644
y7,8-,C76H96N28O36P6S6,293.283874
b8,9-,C86H110N27O43P7S7,293.364492
d5,6-,C56H72N17O30P5S5,295.191434
