Assignement,Charge,Elemental composition,Mass
z8,4-,C86H108N33O39P7S7,665.834985
b2,1-,C24H31N8O11P1S1,669.149786
y2,1-,C24H31N8O11P1S1,669.149786
y8,4-,C86H108N33O40P7S7,669.833714
z4,2-,C46H59N16O20P3S3,671.11605
a4,2-,C46H58N15O21P3S3,671.608058
z6,3-,C66H83N26O29P5S5,671.763087
x12,6-,C126H160N45O62P12S12,674.063563
c12,6-,C126H159N44O63P12S12,674.227566
c10,5-,C106H135N34O54P10S10,674.461647
Mp - 8H,8-,C172H217N60O84P15S15,675.323073
x14,7-,C148H187N52O73P14S14,676.348946
c14,7-,C148H187N52O73P14S14,676.348946
w12,6-,C126H161N45O63P12S12,676.897353
d12,6-,C126H160N44O64P12S12,677.061356
y6,3-,C66H83N26O30P5S5,677.094726
d10,5-,C106H136N34O55P10S10,677.862195
d14,7-,C148H188N52O74P14S14,678.777909
w14,7-,C148H188N52O74P14S14,678.777909
y4,2-,C46H59N16O21P3S3,679.113507
b4,2-,C46H58N15O22P3S3,679.605515
c8,4-,C86H110N27O44P8S8,681.064389
x10,5-,C106H133N40O51P10S10,681.265257
w10,5-,C106H134N40O52P10S10,684.665805
d8,4-,C86H111N27O45P8S8,685.315073
x8,4-,C86H108N33O41P8S8,689.568901
c6,3-,C66H85N20O34P6S6,692.068958
w8,4-,C86H109N33O42P8S8,693.819586
d6,3-,C66H86N20O35P6S6,697.736538
x6,3-,C66H83N26O31P6S6,703.408308
w6,3-,C66H84N26O32P6S6,709.075888
z13,6-,C136H173N47O66P12S12,711.578152
a13,6-,C136H173N47O66P12S12,711.578152
b13,6-,C136H173N47O67P12S12,714.243971
y13,6-,C136H173N47O67P12S12,714.243971
z15,7-,C160H203N55O77P14S14,714.365244
y15,7-,C160H203N55O78P14S14,716.650232
a15,7-,C160H201N57O77P14S14,718.078172
x4,2-,C46H59N16O22P4S4,718.583881
c4,2-,C46H58N15O23P4S4,719.075889
b15,7-,C160H201N57O78P14S14,720.36316
a11,5-,C116H147N39O56P10S10,721.281467
b11,5-,C116H147N39O57P10S10,724.48045
z11,5-,C116H147N43O54P10S10,726.08596
w4,2-,C46H60N16O23P4S4,727.085251
x13,6-,C136H173N47O68P13S13,727.400762
c13,6-,C136H173N47O68P13S13,727.400762
d4,2-,C46H59N15O24P4S4,727.577259
x15,7-,C160H203N55O79P15S15,727.927481
y11,5-,C116H147N43O55P10S10,729.284943
w13,6-,C136H174N47O69P13S13,730.234552
d13,6-,C136H174N47O69P13S13,730.234552
w15,7-,C160H204N55O80P15S15,730.356444
c15,7-,C160H201N57O79P15S15,731.64041
d15,7-,C160H202N57O80P15S15,734.069372
a9,4-,C96H122N32O46P8S8,739.589163
c11,5-,C116H147N39O58P11S11,740.268599
b9,4-,C96H122N32O47P8S8,743.587892
d11,5-,C116H148N39O59P11S11,743.669147
x11,5-,C116H147N43O56P11S11,745.073093
c2,1-,C24H31N8O12P2S2,748.090533
x2,1-,C24H31N8O12P2S2,748.090533
z9,4-,C96H120N38O43P8S8,748.093676
w11,5-,C116H148N43O57P11S11,748.47364
y9,4-,C96H120N38O44P8S8,752.092405
c9,4-,C96H122N32O48P9S9,763.323079
d2,1-,C24H32N8O13P2S2,765.093273
w2,1-,C24H32N8O13P2S2,765.093273
a7,3-,C76H98N22O38P6S6,767.098135
d9,4-,C96H123N32O49P9S9,767.573764
x9,4-,C96H120N38O45P9S9,771.827592
Mp - 7H,7-,C172H217N60O84P15S15,771.941695
b7,3-,C76H98N22O39P6S6,772.429774
a14,6-,C148H187N52O71P13S13,773.41904
z14,6-,C148H187N52O71P13S13,773.41904
w9,4-,C96H121N38O46P9S9,776.078276
b14,6-,C148H187N52O72P13S13,776.084859
y14,6-,C148H187N52O72P13S13,776.084859
z7,3-,C76H96N28O35P6S6,778.437485
y7,3-,C76H96N28O36P6S6,783.769124
x14,6-,C148H187N52O73P14S14,789.24165
c14,6-,C148H187N52O73P14S14,789.24165
z12,5-,C126H160N45O60P11S11,790.090599
a12,5-,C126H159N44O61P11S11,790.287402
w14,6-,C148H188N52O74P14S14,792.07544
d14,6-,C148H188N52O74P14S14,792.07544
y12,5-,C126H160N45O61P11S11,793.289582
b12,5-,C126H159N44O62P11S11,793.486385
c7,3-,C76H98N22O40P7S7,798.743356
d7,3-,C76H99N22O41P7S7,804.410936
x12,5-,C126H160N45O62P12S12,809.077731
c12,5-,C126H159N44O63P12S12,809.274535
x7,3-,C76H96N28O37P7S7,810.082706
w12,5-,C126H161N45O63P12S12,812.478279
d12,5-,C126H160N44O64P12S12,812.675082
w7,3-,C76H97N28O38P7S7,815.750286
a10,4-,C106H135N34O52P9S9,819.594962
b10,4-,C106H135N34O53P9S9,823.593691
z10,4-,C106H133N40O49P9S9,828.099475
a5,2-,C56H71N17O27P4S4,831.619655
y10,4-,C106H133N40O50P9S9,832.098203
z15,6-,C160H203N55O77P14S14,833.593997
y15,6-,C160H203N55O78P14S14,836.259816
a15,6-,C160H201N57O77P14S14,837.925747
b5,2-,C56H71N17O28P4S4,839.617112
b15,6-,C160H201N57O78P14S14,840.591566
c10,4-,C106H135N34O54P10S10,843.328878
z5,2-,C56H71N21O25P4S4,843.630888
d10,4-,C106H136N34O55P10S10,847.579563
x15,6-,C160H203N55O79P15S15,849.416608
y5,2-,C56H71N21O26P4S4,851.628346
x10,4-,C106H133N40O51P10S10,851.83339
w15,6-,C160H204N55O80P15S15,852.250397
c15,6-,C160H201N57O79P15S15,853.748357
z13,5-,C136H173N47O66P12S12,854.095238
a13,5-,C136H173N47O66P12S12,854.095238
w10,4-,C106H134N40O52P10S10,856.084075
d15,6-,C160H202N57O80P15S15,856.582147
b13,5-,C136H173N47O67P12S12,857.294221
y13,5-,C136H173N47O67P12S12,857.294221
x13,5-,C136H173N47O68P13S13,873.08237
c13,5-,C136H173N47O68P13S13,873.08237
w13,5-,C136H174N47O69P13S13,876.482918
d13,5-,C136H174N47O69P13S13,876.482918
a8,3-,C86H110N27O42P7S7,876.776389
c5,2-,C56H71N17O29P5S5,879.087486
b8,3-,C86H110N27O43P7S7,882.108028
d5,2-,C56H72N17O30P5S5,887.588856
z8,3-,C86H108N33O39P7S7,888.115739
x5,2-,C56H71N21O27P5S5,891.098719
y8,3-,C86H108N33O40P7S7,893.447378
w5,2-,C56H72N21O28P5S5,899.600089
Mp - 6H,6-,C172H217N60O84P15S15,900.766523
a11,4-,C116H147N39O56P10S10,901.853653
b11,4-,C116H147N39O57P10S10,905.852381
z11,4-,C116H147N43O54P10S10,907.859269
c8,3-,C86H110N27O44P8S8,908.42161
y11,4-,C116H147N43O55P10S10,911.857998
d8,3-,C86H111N27O45P8S8,914.08919
x8,3-,C86H108N33O41P8S8,919.76096
w8,3-,C86H109N33O42P8S8,925.42854
c11,4-,C116H147N39O58P11S11,925.587568
a14,5-,C148H187N52O71P13S13,928.304303
z14,5-,C148H187N52O71P13S13,928.304303
d11,4-,C116H148N39O59P11S11,929.838253
y14,5-,C148H187N52O72P13S13,931.503286
b14,5-,C148H187N52O72P13S13,931.503286
x11,4-,C116H147N43O56P11S11,931.593185
w11,4-,C116H148N43O57P11S11,935.84387
c14,5-,C148H187N52O73P14S14,947.291436
x14,5-,C148H187N52O73P14S14,947.291436
d14,5-,C148H188N52O74P14S14,950.691984
w14,5-,C148H188N52O74P14S14,950.691984
a9,3-,C96H122N32O46P8S8,986.454643
z12,4-,C126H160N45O60P11S11,987.865068
a12,4-,C126H159N44O61P11S11,988.111072
a6,2-,C66H85N20O32P5S5,991.139244
b9,3-,C96H122N32O47P8S8,991.786282
y12,4-,C126H160N45O61P11S11,991.863796
b12,4-,C126H159N44O62P11S11,992.1098
z9,3-,C96H120N38O43P8S8,997.793993
b6,2-,C66H85N20O33P5S5,999.136702
z15,5-,C160H203N55O77P14S14,1000.514252
y9,3-,C96H120N38O44P8S8,1003.125632
y15,5-,C160H203N55O78P14S14,1003.713235
a15,5-,C160H201N57O77P14S14,1005.712351
z6,2-,C66H83N26O29P5S5,1008.148269
b15,5-,C160H201N57O78P14S14,1008.911334
x12,4-,C126H160N45O62P12S12,1011.598983
c12,4-,C126H159N44O63P12S12,1011.844987
w12,4-,C126H161N45O63P12S12,1015.849668
d12,4-,C126H160N44O64P12S12,1016.095672
y6,2-,C66H83N26O30P5S5,1016.145727
c9,3-,C96H122N32O48P9S9,1018.099864
x15,5-,C160H203N55O79P15S15,1019.501384
w15,5-,C160H204N55O80P15S15,1022.901932
d9,3-,C96H123N32O49P9S9,1023.767444
a3,1-,C36H45N13O15P2S2,1024.200198
z3,1-,C36H45N13O15P2S2,1024.200198
c15,5-,C160H201N57O79P15S15,1024.699484
d15,5-,C160H202N57O80P15S15,1028.100032
x9,3-,C96H120N38O45P9S9,1029.439214
w9,3-,C96H121N38O46P9S9,1035.106794
c6,2-,C66H85N20O34P6S6,1038.607075
y3,1-,C36H45N13O16P2S2,1040.195112
b3,1-,C36H45N13O16P2S2,1040.195112
d6,2-,C66H86N20O35P6S6,1047.108445
x6,2-,C66H83N26O31P6S6,1055.6161
w6,2-,C66H84N26O32P6S6,1064.11747
a13,4-,C136H173N47O66P12S12,1067.870866
z13,4-,C136H173N47O66P12S12,1067.870866
b13,4-,C136H173N47O67P12S12,1071.869595
y13,4-,C136H173N47O67P12S12,1071.869595
Mp - 5H,5-,C172H217N60O84P15S15,1081.121283
x13,4-,C136H173N47O68P13S13,1091.604782
c13,4-,C136H173N47O68P13S13,1091.604782
a10,3-,C106H135N34O52P9S9,1093.129042
d13,4-,C136H174N47O69P13S13,1095.855467
w13,4-,C136H174N47O69P13S13,1095.855467
b10,3-,C106H135N34O53P9S9,1098.46068
z10,3-,C106H133N40O49P9S9,1104.468392
y10,3-,C106H133N40O50P9S9,1109.80003
x3,1-,C36H45N13O17P3S3,1119.13586
c3,1-,C36H45N13O17P3S3,1119.13586
c10,3-,C106H135N34O54P10S10,1124.774262
d10,3-,C106H136N34O55P10S10,1130.441842
x10,3-,C106H133N40O51P10S10,1136.113612
d3,1-,C36H46N13O18P3S3,1136.1386
w3,1-,C36H46N13O18P3S3,1136.1386
w10,3-,C106H134N40O52P10S10,1141.781192
a7,2-,C76H98N22O38P6S6,1151.150841
b7,2-,C76H98N22O39P6S6,1159.148299
z14,4-,C148H187N52O71P13S13,1160.632198
a14,4-,C148H187N52O71P13S13,1160.632198
b14,4-,C148H187N52O72P13S13,1164.630927
y14,4-,C148H187N52O72P13S13,1164.630927
z7,2-,C76H96N28O35P6S6,1168.159866
y7,2-,C76H96N28O36P6S6,1176.157324
c14,4-,C148H187N52O73P14S14,1184.366114
x14,4-,C148H187N52O73P14S14,1184.366114
d14,4-,C148H188N52O74P14S14,1188.616799
w14,4-,C148H188N52O74P14S14,1188.616799
c7,2-,C76H98N22O40P7S7,1198.618673
a11,3-,C116H147N39O56P10S10,1202.807296
d7,2-,C76H99N22O41P7S7,1207.120042
b11,3-,C116H147N39O57P10S10,1208.138934
z11,3-,C116H147N43O54P10S10,1210.814784
x7,2-,C76H96N28O37P7S7,1215.627698
y11,3-,C116H147N43O55P10S10,1216.146423
w7,2-,C76H97N28O38P7S7,1224.129067
c11,3-,C116H147N39O58P11S11,1234.452516
d11,3-,C116H148N39O59P11S11,1240.120096
x11,3-,C116H147N43O56P11S11,1242.460005
w11,3-,C116H148N43O57P11S11,1248.127585
z15,4-,C160H203N55O77P14S14,1250.894634
y15,4-,C160H203N55O78P14S14,1254.893363
a15,4-,C160H201N57O77P14S14,1257.392258
b15,4-,C160H201N57O78P14S14,1261.390987
x15,4-,C160H203N55O79P15S15,1274.62855
w15,4-,C160H204N55O80P15S15,1278.879234
c15,4-,C160H201N57O79P15S15,1281.126174
d15,4-,C160H202N57O80P15S15,1285.376859
a8,2-,C86H110N27O42P7S7,1315.668222
z12,3-,C126H160N45O60P11S11,1317.489183
a12,3-,C126H159N44O61P11S11,1317.817188
y12,3-,C126H160N45O61P11S11,1322.820821
b12,3-,C126H159N44O62P11S11,1323.148826
b8,2-,C86H110N27O43P7S7,1323.66568
z8,2-,C86H108N33O39P7S7,1332.677247
y8,2-,C86H108N33O40P7S7,1340.674705
z4,1-,C46H59N16O20P3S3,1343.239376
a4,1-,C46H58N15O21P3S3,1344.223392
x12,3-,C126H160N45O62P12S12,1349.134403
c12,3-,C126H159N44O63P12S12,1349.462409
Mp - 4H,4-,C172H217N60O84P15S15,1351.653423
w12,3-,C126H161N45O63P12S12,1354.801983
d12,3-,C126H160N44O64P12S12,1355.129988
y4,1-,C46H59N16O21P3S3,1359.234291
b4,1-,C46H58N15O22P3S3,1360.218307
c8,2-,C86H110N27O44P8S8,1363.136054
d8,2-,C86H111N27O45P8S8,1371.637423
x8,2-,C86H108N33O41P8S8,1380.145079
w8,2-,C86H109N33O42P8S8,1388.646448
a13,3-,C136H173N47O66P12S12,1424.163581
z13,3-,C136H173N47O66P12S12,1424.163581
y13,3-,C136H173N47O67P12S12,1429.495219
b13,3-,C136H173N47O67P12S12,1429.495219
x4,1-,C46H59N16O22P4S4,1438.175039
c4,1-,C46H58N15O23P4S4,1439.159054
w4,1-,C46H60N16O23P4S4,1455.177778
x13,3-,C136H173N47O68P13S13,1455.808801
c13,3-,C136H173N47O68P13S13,1455.808801
d4,1-,C46H59N15O24P4S4,1456.161794
d13,3-,C136H174N47O69P13S13,1461.476381
w13,3-,C136H174N47O69P13S13,1461.476381
a9,2-,C96H122N32O46P8S8,1480.185603
b9,2-,C96H122N32O47P8S8,1488.183061
z9,2-,C96H120N38O43P8S8,1497.194628
y9,2-,C96H120N38O44P8S8,1505.192086
c9,2-,C96H122N32O48P9S9,1527.653435
d9,2-,C96H123N32O49P9S9,1536.154804
x9,2-,C96H120N38O45P9S9,1544.66246
z14,3-,C148H187N52O71P13S13,1547.845356
a14,3-,C148H187N52O71P13S13,1547.845356
w9,2-,C96H121N38O46P9S9,1553.163829
b14,3-,C148H187N52O72P13S13,1553.176994
y14,3-,C148H187N52O72P13S13,1553.176994
x14,3-,C148H187N52O73P14S14,1579.490577
c14,3-,C148H187N52O73P14S14,1579.490577
w14,3-,C148H188N52O74P14S14,1585.158157
d14,3-,C148H188N52O74P14S14,1585.158157
a10,2-,C106H135N34O52P9S9,1640.197201
b10,2-,C106H135N34O53P9S9,1648.194658
z10,2-,C106H133N40O49P9S9,1657.206226
a5,1-,C56H71N17O27P4S4,1664.246586
y10,2-,C106H133N40O50P9S9,1665.203683
z15,3-,C160H203N55O77P14S14,1668.195271
y15,3-,C160H203N55O78P14S14,1673.526909
a15,3-,C160H201N57O77P14S14,1676.85877
b5,1-,C56H71N17O28P4S4,1680.241501
b15,3-,C160H201N57O78P14S14,1682.190408
c10,2-,C106H135N34O54P10S10,1687.665032
z5,1-,C56H71N21O25P4S4,1688.269053
d10,2-,C106H136N34O55P10S10,1696.166402
x15,3-,C160H203N55O79P15S15,1699.840492
y5,1-,C56H71N21O26P4S4,1704.263968
x10,2-,C106H133N40O51P10S10,1704.674057
w15,3-,C160H204N55O80P15S15,1705.508071
c15,3-,C160H201N57O79P15S15,1708.503991
w10,2-,C106H134N40O52P10S10,1713.175427
d15,3-,C160H202N57O80P15S15,1714.171571
c5,1-,C56H71N17O29P5S5,1759.182249
d5,1-,C56H72N17O30P5S5,1776.184988
x5,1-,C56H71N21O27P5S5,1783.204715
w5,1-,C56H72N21O28P5S5,1800.207455
Mp - 3H,3-,C172H217N60O84P15S15,1802.540323
a11,2-,C116H147N39O56P10S10,1804.714582
b11,2-,C116H147N39O57P10S10,1812.712039
z11,2-,C116H147N43O54P10S10,1816.725815
y11,2-,C116H147N43O55P10S10,1824.723272
c11,2-,C116H147N39O58P11S11,1852.182413
d11,2-,C116H148N39O59P11S11,1860.683783
x11,2-,C116H147N43O56P11S11,1864.193646
w11,2-,C116H148N43O57P11S11,1872.695016
z12,2-,C126H160N45O60P11S11,1976.737412
a12,2-,C126H159N44O61P11S11,1977.22942
a6,1-,C66H85N20O32P5S5,1983.285765
y12,2-,C126H160N45O61P11S11,1984.734869
b12,2-,C126H159N44O62P11S11,1985.226877
b6,1-,C66H85N20O33P5S5,1999.28068
z6,1-,C66H83N26O29P5S5,2017.303815
x12,2-,C126H160N45O62P12S12,2024.205243
c12,2-,C126H159N44O63P12S12,2024.697251
w12,2-,C126H161N45O63P12S12,2032.706613
d12,2-,C126H160N44O64P12S12,2033.198621
y6,1-,C66H83N26O30P5S5,2033.29873
c6,1-,C66H85N20O34P6S6,2078.221427
d6,1-,C66H86N20O35P6S6,2095.224167
x6,1-,C66H83N26O31P6S6,2112.239477
w6,1-,C66H84N26O32P6S6,2129.242217
z13,2-,C136H173N47O66P12S12,2136.749009
a13,2-,C136H173N47O66P12S12,2136.749009
b13,2-,C136H173N47O67P12S12,2144.746467
y13,2-,C136H173N47O67P12S12,2144.746467
x13,2-,C136H173N47O68P13S13,2184.21684
c13,2-,C136H173N47O68P13S13,2184.21684
w13,2-,C136H174N47O69P13S13,2192.71821
d13,2-,C136H174N47O69P13S13,2192.71821
a7,1-,C76H98N22O38P6S6,2303.308959
b7,1-,C76H98N22O39P6S6,2319.303874
a14,2-,C148H187N52O71P13S13,2322.271673
z14,2-,C148H187N52O71P13S13,2322.271673
b14,2-,C148H187N52O72P13S13,2330.26913
y14,2-,C148H187N52O72P13S13,2330.26913
z7,1-,C76H96N28O35P6S6,2337.327009
y7,1-,C76H96N28O36P6S6,2353.321924
x14,2-,C148H187N52O73P14S14,2369.739504
c14,2-,C148H187N52O73P14S14,2369.739504
d14,2-,C148H188N52O74P14S14,2378.240874
w14,2-,C148H188N52O74P14S14,2378.240874
c7,1-,C76H98N22O40P7S7,2398.244622
d7,1-,C76H99N22O41P7S7,2415.247361
x7,1-,C76H96N28O37P7S7,2432.262672
w7,1-,C76H97N28O38P7S7,2449.265411
z15,2-,C160H203N55O77P14S14,2502.796544
y15,2-,C160H203N55O78P14S14,2510.794002
a15,2-,C160H201N57O77P14S14,2515.791793
b15,2-,C160H201N57O78P14S14,2523.789251
x15,2-,C160H203N55O79P15S15,2550.264376
w15,2-,C160H204N55O80P15S15,2558.765745
c15,2-,C160H201N57O79P15S15,2563.259625
d15,2-,C160H202N57O80P15S15,2571.760994
a8,1-,C86H110N27O42P7S7,2632.343721
b8,1-,C86H110N27O43P7S7,2648.338636
z8,1-,C86H108N33O39P7S7,2666.361771
y8,1-,C86H108N33O40P7S7,2682.356686
Mp - 2H,2-,C172H217N60O84P15S15,2704.314122
c8,1-,C86H110N27O44P8S8,2727.279384
d8,1-,C86H111N27O45P8S8,2744.282123
x8,1-,C86H108N33O41P8S8,2761.297434
w8,1-,C86H109N33O42P8S8,2778.300173
a9,1-,C96H122N32O46P8S8,2961.378483
b9,1-,C96H122N32O47P8S8,2977.373398
z9,1-,C96H120N38O43P8S8,2995.396533
y9,1-,C96H120N38O44P8S8,3011.391448
c9,1-,C96H122N32O48P9S9,3056.314146
d9,1-,C96H123N32O49P9S9,3073.316885
x9,1-,C96H120N38O45P9S9,3090.332196
w9,1-,C96H121N38O46P9S9,3107.334935
a10,1-,C106H135N34O52P9S9,3281.401678
b10,1-,C106H135N34O53P9S9,3297.396592
z10,1-,C106H133N40O49P9S9,3315.419728
y10,1-,C106H133N40O50P9S9,3331.414642
c10,1-,C106H135N34O54P10S10,3376.33734
d10,1-,C106H136N34O55P10S10,3393.34008
x10,1-,C106H133N40O51P10S10,3410.35539
w10,1-,C106H134N40O52P10S10,3427.35813
a11,1-,C116H147N39O56P10S10,3610.43644
b11,1-,C116H147N39O57P10S10,3626.431354
z11,1-,C116H147N43O54P10S10,3634.458906
y11,1-,C116H147N43O55P10S10,3650.453821
c11,1-,C116H147N39O58P11S11,3705.372102
d11,1-,C116H148N39O59P11S11,3722.374842
x11,1-,C116H147N43O56P11S11,3729.394569
w11,1-,C116H148N43O57P11S11,3746.397308
z12,1-,C126H160N45O60P11S11,3954.482101
a12,1-,C126H159N44O61P11S11,3955.466116
y12,1-,C126H160N45O61P11S11,3970.477015
b12,1-,C126H159N44O62P11S11,3971.461031
x12,1-,C126H160N45O62P12S12,4049.417763
c12,1-,C126H159N44O63P12S12,4050.401779
w12,1-,C126H161N45O63P12S12,4066.420503
d12,1-,C126H160N44O64P12S12,4067.404518
a13,1-,C136H173N47O66P12S12,4274.505295
z13,1-,C136H173N47O66P12S12,4274.505295
y13,1-,C136H173N47O67P12S12,4290.50021
b13,1-,C136H173N47O67P12S12,4290.50021
x13,1-,C136H173N47O68P13S13,4369.440957
c13,1-,C136H173N47O68P13S13,4369.440957
d13,1-,C136H174N47O69P13S13,4386.443697
w13,1-,C136H174N47O69P13S13,4386.443697
z14,1-,C148H187N52O71P13S13,4645.550622
a14,1-,C148H187N52O71P13S13,4645.550622
y14,1-,C148H187N52O72P13S13,4661.545536
b14,1-,C148H187N52O72P13S13,4661.545536
x14,1-,C148H187N52O73P14S14,4740.486284
c14,1-,C148H187N52O73P14S14,4740.486284
d14,1-,C148H188N52O74P14S14,4757.489024
w14,1-,C148H188N52O74P14S14,4757.489024
z15,1-,C160H203N55O77P14S14,5006.600365
y15,1-,C160H203N55O78P14S14,5022.59528
a15,1-,C160H201N57O77P14S14,5032.590863
b15,1-,C160H201N57O78P14S14,5048.585778
x15,1-,C160H203N55O79P15S15,5101.536028
w15,1-,C160H204N55O80P15S15,5118.538767
c15,1-,C160H201N57O79P15S15,5127.526526
d15,1-,C160H202N57O80P15S15,5144.529265
Mp - 1H,1-,C172H217N60O84P15S15,5409.635521
